,0
0,0
1,0
2,0
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,1
26,0
27,1
28,1
29,1
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,1
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,0
74,0
75,1
76,1
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,1
106,1
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,1
115,1
116,1
117,1
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,1
144,1
145,1
146,0
147,1
148,1
149,0
150,0
151,1
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,0
162,1
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,1
175,0
176,1
177,0
178,0
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,1
190,1
191,0
192,1
193,1
194,0
195,0
196,0
197,1
198,0
199,0
200,0
201,1
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,1
220,0
221,1
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,0
230,0
231,1
232,1
233,1
234,0
235,0
236,1
237,1
238,1
239,0
240,0
241,1
242,0
243,0
244,1
245,0
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,0
254,1
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,1
270,0
271,0
272,1
273,0
274,1
275,0
276,0
277,0
278,1
279,1
280,0
281,1
282,0
283,1
284,0
285,0
286,0
287,1
288,0
289,0
290,0
291,0
292,1
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,1
306,0
307,1
308,1
309,0
310,0
311,1
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,1
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,1
347,0
348,0
349,0
350,1
351,1
352,0
353,0
354,1
355,0
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,0
369,1
370,0
371,0
372,1
373,1
374,1
375,0
376,0
377,0
378,1
379,0
380,1
381,0
382,1
383,0
384,0
385,0
386,0
387,0
388,1
389,1
390,0
391,1
392,1
393,0
394,0
395,0
396,1
397,0
398,1
399,0
400,0
401,1
402,0
403,1
404,0
405,1
406,0
407,1
408,1
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,0
417,1
418,0
419,0
420,1
421,0
422,0
423,0
424,0
425,1
426,0
427,1
428,0
429,0
430,0
431,0
432,1
433,1
434,0
435,0
436,0
437,1
438,0
439,0
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,1
453,0
454,0
455,0
456,0
457,1
458,0
459,1
460,0
461,0
462,1
463,0
464,1
465,1
466,1
467,0
468,0
469,1
470,1
471,1
472,0
473,1
474,0
475,0
476,1
477,0
478,0
479,0
480,0
481,0
482,1
483,1
484,0
485,0
486,1
487,0
488,1
489,1
490,1
491,0
492,1
493,0
494,1
495,0
496,0
497,1
498,0
499,0
500,1
501,1
502,0
503,0
504,1
505,0
506,0
507,1
508,0
509,1
510,0
511,0
512,0
513,0
514,1
515,0
516,0
517,0
518,0
519,1
520,1
521,0
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,1
532,0
